id,userid,groupId,categoryId,title,caption,picture,latitude,longitude,createdAt
16,1,6,3,Trans-Bhutan Trail,Great trail in Asia,https://media.cntraveler.com/photos/634db5f3ee34894ff94bf3c7/master/w_1600%2Cc_limit/914497740,27.3866,89.2827,2024-08-03T12:55:42.991341Z
126,461,10,1,Zebra Sighting,Captured this picture of a group of Zebra,https://cdn.pixabay.com/photo/2018/01/04/17/27/animal-3061184_640.jpg,0.0,0.0,2024-09-06T16:44:17Z
127,461,10,1,Leopard Sighting,Beautiful leopard spotted in Masai Mara,https://cdn.pixabay.com/photo/2017/09/12/03/52/leopard-2741169_1280.jpg,0.0,0.0,2024-09-06T16:46:35Z
128,465,11,1,Sea Lion Sighting,Interesting find while diving,https://cdn.pixabay.com/photo/2015/04/07/21/12/lionfish-711799_640.jpg,0.0,0.0,2024-09-06T16:48:46Z
129,465,11,1,Jellyfish,Unreal experience diving off the coast of Australia,https://cdn.pixabay.com/photo/2016/11/21/17/09/animals-1846546_640.jpg,0.0,0.0,2024-09-06T16:50:58Z
130,465,11,1,https://cdn.pixabay.com/photo/2016/11/29/02/19/animal-1866808_640.jpg,One of my favourite's to see ,https://cdn.pixabay.com/photo/2016/11/29/02/19/animal-1866808_640.jpg,0.0,0.0,2024-09-06T16:52:59Z
131,474,12,1,Bear Cub,So cute!,https://cdn.pixabay.com/photo/2018/05/11/09/47/animal-3389980_640.jpg,0.0,0.0,2024-09-06T16:55:18Z
132,474,12,1,Roe Deer,Those horns are majestic,https://cdn.pixabay.com/photo/2017/08/12/17/11/roe-deer-2634729_640.jpg,0.0,0.0,2024-09-06T16:57:35Z
134,455,9,1,Panda Sighting,So beautiful,https://cdn.pixabay.com/photo/2019/08/21/16/03/panda-4421395_640.jpg,0.0,0.0,2024-09-06T17:03:15Z
2,1,5,2,Camping Spot,Found this cool new campsite,https://australia.businessesforsale.com/australian/static/articleimage?articleId=12982&name=run-campsite,123.123,123.123,2024-08-03T11:50:53.806866Z
3,1,5,2,Yosemite,Amazing views to wake up to in the morning,https://media.architecturaldigest.com/photos/648a012f1fa1b6e12cc85f53/master/w_1920%2Cc_limit/GettyImages-1353388525.jpg,37.8651,-119.53833,2024-08-03T11:52:29.553467Z
